,0
0,"33.772075,-117.301693,2012-01-01T12:00:00"
1,"33.772075,-117.301693,2012-01-02T12:00:00"
2,"33.772075,-117.301693,2012-01-03T12:00:00"
3,"33.772075,-117.301693,2012-01-04T12:00:00"
4,"33.772075,-117.301693,2012-01-05T12:00:00"
5,"33.772075,-117.301693,2012-01-06T12:00:00"
6,"33.772075,-117.301693,2012-01-07T12:00:00"
7,"33.772075,-117.301693,2012-01-08T12:00:00"
8,"33.772075,-117.301693,2012-01-09T12:00:00"
9,"33.772075,-117.301693,2012-01-10T12:00:00"
10,"33.772075,-117.301693,2012-01-11T12:00:00"
11,"33.772075,-117.301693,2012-01-12T12:00:00"
12,"33.772075,-117.301693,2012-01-13T12:00:00"
13,"33.772075,-117.301693,2012-01-14T12:00:00"
14,"33.772075,-117.301693,2012-01-15T12:00:00"
15,"33.772075,-117.301693,2012-01-16T12:00:00"
16,"33.772075,-117.301693,2012-01-17T12:00:00"
17,"33.772075,-117.301693,2012-01-18T12:00:00"
18,"33.772075,-117.301693,2012-01-19T12:00:00"
19,"33.772075,-117.301693,2012-01-20T12:00:00"
20,"33.772075,-117.301693,2012-01-21T12:00:00"
21,"33.772075,-117.301693,2012-01-22T12:00:00"
22,"33.772075,-117.301693,2012-01-23T12:00:00"
23,"33.772075,-117.301693,2012-01-24T12:00:00"
24,"33.772075,-117.301693,2012-01-25T12:00:00"
25,"33.772075,-117.301693,2012-01-26T12:00:00"
26,"33.772075,-117.301693,2012-01-27T12:00:00"
27,"33.772075,-117.301693,2012-01-28T12:00:00"
28,"33.772075,-117.301693,2012-01-29T12:00:00"
29,"33.772075,-117.301693,2012-01-30T12:00:00"
30,"33.772075,-117.301693,2012-01-31T12:00:00"
31,"33.772075,-117.301693,2012-02-01T12:00:00"
32,"33.772075,-117.301693,2012-02-02T12:00:00"
33,"33.772075,-117.301693,2012-02-03T12:00:00"
34,"33.772075,-117.301693,2012-02-04T12:00:00"
35,"33.772075,-117.301693,2012-02-05T12:00:00"
36,"33.772075,-117.301693,2012-02-06T12:00:00"
37,"33.772075,-117.301693,2012-02-07T12:00:00"
38,"33.772075,-117.301693,2012-02-08T12:00:00"
39,"33.772075,-117.301693,2012-02-09T12:00:00"
40,"33.772075,-117.301693,2012-02-10T12:00:00"
41,"33.772075,-117.301693,2012-02-11T12:00:00"
42,"33.772075,-117.301693,2012-02-12T12:00:00"
43,"33.772075,-117.301693,2012-02-13T12:00:00"
44,"33.772075,-117.301693,2012-02-14T12:00:00"
45,"33.772075,-117.301693,2012-02-15T12:00:00"
46,"33.772075,-117.301693,2012-02-16T12:00:00"
47,"33.772075,-117.301693,2012-02-17T12:00:00"
48,"33.772075,-117.301693,2012-02-18T12:00:00"
49,"33.772075,-117.301693,2012-02-19T12:00:00"
50,"33.772075,-117.301693,2012-02-20T12:00:00"
51,"33.772075,-117.301693,2012-02-21T12:00:00"
52,"33.772075,-117.301693,2012-02-22T12:00:00"
53,"33.772075,-117.301693,2012-02-23T12:00:00"
54,"33.772075,-117.301693,2012-02-24T12:00:00"
55,"33.772075,-117.301693,2012-02-25T12:00:00"
56,"33.772075,-117.301693,2012-02-26T12:00:00"
57,"33.772075,-117.301693,2012-02-27T12:00:00"
58,"33.772075,-117.301693,2012-02-28T12:00:00"
59,"33.772075,-117.301693,2012-02-29T12:00:00"
60,"33.772075,-117.301693,2012-03-01T12:00:00"
61,"33.772075,-117.301693,2012-03-02T12:00:00"
62,"33.772075,-117.301693,2012-03-03T12:00:00"
63,"33.772075,-117.301693,2012-03-04T12:00:00"
64,"33.772075,-117.301693,2012-03-05T12:00:00"
65,"33.772075,-117.301693,2012-03-06T12:00:00"
66,"33.772075,-117.301693,2012-03-07T12:00:00"
67,"33.772075,-117.301693,2012-03-08T12:00:00"
68,"33.772075,-117.301693,2012-03-09T12:00:00"
69,"33.772075,-117.301693,2012-03-10T12:00:00"
70,"33.772075,-117.301693,2012-03-11T12:00:00"
71,"33.772075,-117.301693,2012-03-12T12:00:00"
72,"33.772075,-117.301693,2012-03-13T12:00:00"
73,"33.772075,-117.301693,2012-03-14T12:00:00"
74,"33.772075,-117.301693,2012-03-15T12:00:00"
75,"33.772075,-117.301693,2012-03-16T12:00:00"
76,"33.772075,-117.301693,2012-03-17T12:00:00"
77,"33.772075,-117.301693,2012-03-18T12:00:00"
78,"33.772075,-117.301693,2012-03-19T12:00:00"
79,"33.772075,-117.301693,2012-03-20T12:00:00"
80,"33.772075,-117.301693,2012-03-21T12:00:00"
81,"33.772075,-117.301693,2012-03-22T12:00:00"
82,"33.772075,-117.301693,2012-03-23T12:00:00"
83,"33.772075,-117.301693,2012-03-24T12:00:00"
84,"33.772075,-117.301693,2012-03-25T12:00:00"
85,"33.772075,-117.301693,2012-03-26T12:00:00"
86,"33.772075,-117.301693,2012-03-27T12:00:00"
87,"33.772075,-117.301693,2012-03-28T12:00:00"
88,"33.772075,-117.301693,2012-03-29T12:00:00"
89,"33.772075,-117.301693,2012-03-30T12:00:00"
90,"33.772075,-117.301693,2012-03-31T12:00:00"
91,"33.772075,-117.301693,2012-04-01T12:00:00"
92,"33.772075,-117.301693,2012-04-02T12:00:00"
93,"33.772075,-117.301693,2012-04-03T12:00:00"
94,"33.772075,-117.301693,2012-04-04T12:00:00"
95,"33.772075,-117.301693,2012-04-05T12:00:00"
96,"33.772075,-117.301693,2012-04-06T12:00:00"
97,"33.772075,-117.301693,2012-04-07T12:00:00"
98,"33.772075,-117.301693,2012-04-08T12:00:00"
99,"33.772075,-117.301693,2012-04-09T12:00:00"
100,"33.772075,-117.301693,2012-04-10T12:00:00"
101,"33.772075,-117.301693,2012-04-11T12:00:00"
102,"33.772075,-117.301693,2012-04-12T12:00:00"
103,"33.772075,-117.301693,2012-04-13T12:00:00"
104,"33.772075,-117.301693,2012-04-14T12:00:00"
105,"33.772075,-117.301693,2012-04-15T12:00:00"
106,"33.772075,-117.301693,2012-04-16T12:00:00"
107,"33.772075,-117.301693,2012-04-17T12:00:00"
108,"33.772075,-117.301693,2012-04-18T12:00:00"
109,"33.772075,-117.301693,2012-04-19T12:00:00"
110,"33.772075,-117.301693,2012-04-20T12:00:00"
111,"33.772075,-117.301693,2012-04-21T12:00:00"
112,"33.772075,-117.301693,2012-04-22T12:00:00"
113,"33.772075,-117.301693,2012-04-23T12:00:00"
