,latlngtime,areacode,tggl
0,"33.772075,-117.301693,2012-01-01T12:00:00",1,1/1/2012
1,"33.772075,-117.301693,2012-01-02T12:00:00",1,2/1/2012
2,"33.772075,-117.301693,2012-01-03T12:00:00",1,3/1/2012
3,"33.772075,-117.301693,2012-01-04T12:00:00",1,4/1/2012
4,"33.772075,-117.301693,2012-01-05T12:00:00",1,5/1/2012
5,"33.772075,-117.301693,2012-01-06T12:00:00",1,6/1/2012
6,"33.772075,-117.301693,2012-01-07T12:00:00",1,7/1/2012
7,"33.772075,-117.301693,2012-01-08T12:00:00",1,8/1/2012
8,"33.772075,-117.301693,2012-01-09T12:00:00",1,9/1/2012
9,"33.772075,-117.301693,2012-01-10T12:00:00",1,10/1/2012
10,"33.772075,-117.301693,2012-01-11T12:00:00",1,11/1/2012
11,"33.772075,-117.301693,2012-01-12T12:00:00",1,12/1/2012
12,"33.772075,-117.301693,2012-01-13T12:00:00",1,13/1/2012
13,"33.772075,-117.301693,2012-01-14T12:00:00",1,14/1/2012
14,"33.772075,-117.301693,2012-01-15T12:00:00",1,15/1/2012
15,"33.772075,-117.301693,2012-01-16T12:00:00",1,16/1/2012
16,"33.772075,-117.301693,2012-01-17T12:00:00",1,17/1/2012
17,"33.772075,-117.301693,2012-01-18T12:00:00",1,18/1/2012
18,"33.772075,-117.301693,2012-01-19T12:00:00",1,19/1/2012
19,"33.772075,-117.301693,2012-01-20T12:00:00",1,20/1/2012
20,"33.772075,-117.301693,2012-01-21T12:00:00",1,21/1/2012
21,"33.772075,-117.301693,2012-01-22T12:00:00",1,22/1/2012
22,"33.772075,-117.301693,2012-01-23T12:00:00",1,23/1/2012
23,"33.772075,-117.301693,2012-01-24T12:00:00",1,24/1/2012
24,"33.772075,-117.301693,2012-01-25T12:00:00",1,25/1/2012
25,"33.772075,-117.301693,2012-01-26T12:00:00",1,26/1/2012
26,"33.772075,-117.301693,2012-01-27T12:00:00",1,27/1/2012
27,"33.772075,-117.301693,2012-01-28T12:00:00",1,28/1/2012
28,"33.772075,-117.301693,2012-01-29T12:00:00",1,29/1/2012
29,"33.772075,-117.301693,2012-01-30T12:00:00",1,30/1/2012
30,"33.772075,-117.301693,2012-01-31T12:00:00",1,31/1/2012
31,"33.772075,-117.301693,2012-02-01T12:00:00",1,1/2/2012
32,"33.772075,-117.301693,2012-02-02T12:00:00",1,2/2/2012
33,"33.772075,-117.301693,2012-02-03T12:00:00",1,3/2/2012
34,"33.772075,-117.301693,2012-02-04T12:00:00",1,4/2/2012
35,"33.772075,-117.301693,2012-02-05T12:00:00",1,5/2/2012
36,"33.772075,-117.301693,2012-02-06T12:00:00",1,6/2/2012
37,"33.772075,-117.301693,2012-02-07T12:00:00",1,7/2/2012
38,"33.772075,-117.301693,2012-02-08T12:00:00",1,8/2/2012
39,"33.772075,-117.301693,2012-02-09T12:00:00",1,9/2/2012
40,"33.772075,-117.301693,2012-02-10T12:00:00",1,10/2/2012
41,"33.772075,-117.301693,2012-02-11T12:00:00",1,11/2/2012
42,"33.772075,-117.301693,2012-02-12T12:00:00",1,12/2/2012
43,"33.772075,-117.301693,2012-02-13T12:00:00",1,13/2/2012
44,"33.772075,-117.301693,2012-02-14T12:00:00",1,14/2/2012
45,"33.772075,-117.301693,2012-02-15T12:00:00",1,15/2/2012
46,"33.772075,-117.301693,2012-02-16T12:00:00",1,16/2/2012
47,"33.772075,-117.301693,2012-02-17T12:00:00",1,17/2/2012
48,"33.772075,-117.301693,2012-02-18T12:00:00",1,18/2/2012
49,"33.772075,-117.301693,2012-02-19T12:00:00",1,19/2/2012
50,"33.772075,-117.301693,2012-02-20T12:00:00",1,20/2/2012
51,"33.772075,-117.301693,2012-02-21T12:00:00",1,21/2/2012
52,"33.772075,-117.301693,2012-02-22T12:00:00",1,22/2/2012
53,"33.772075,-117.301693,2012-02-23T12:00:00",1,23/2/2012
54,"33.772075,-117.301693,2012-02-24T12:00:00",1,24/2/2012
55,"33.772075,-117.301693,2012-02-25T12:00:00",1,25/2/2012
56,"33.772075,-117.301693,2012-02-26T12:00:00",1,26/2/2012
57,"33.772075,-117.301693,2012-02-27T12:00:00",1,27/2/2012
58,"33.772075,-117.301693,2012-02-28T12:00:00",1,28/2/2012
59,"33.772075,-117.301693,2012-02-29T12:00:00",1,29/2/2012
60,"33.772075,-117.301693,2012-03-01T12:00:00",1,1/3/2012
61,"33.772075,-117.301693,2012-03-02T12:00:00",1,2/3/2012
62,"33.772075,-117.301693,2012-03-03T12:00:00",1,3/3/2012
63,"33.772075,-117.301693,2012-03-04T12:00:00",1,4/3/2012
64,"33.772075,-117.301693,2012-03-05T12:00:00",1,5/3/2012
65,"33.772075,-117.301693,2012-03-06T12:00:00",1,6/3/2012
66,"33.772075,-117.301693,2012-03-07T12:00:00",1,7/3/2012
67,"33.772075,-117.301693,2012-03-08T12:00:00",1,8/3/2012
68,"33.772075,-117.301693,2012-03-09T12:00:00",1,9/3/2012
69,"33.772075,-117.301693,2012-03-10T12:00:00",1,10/3/2012
70,"33.772075,-117.301693,2012-03-11T12:00:00",1,11/3/2012
71,"33.772075,-117.301693,2012-03-12T12:00:00",1,12/3/2012
72,"33.772075,-117.301693,2012-03-13T12:00:00",1,13/3/2012
73,"33.772075,-117.301693,2012-03-14T12:00:00",1,14/3/2012
74,"33.772075,-117.301693,2012-03-15T12:00:00",1,15/3/2012
75,"33.772075,-117.301693,2012-03-16T12:00:00",1,16/3/2012
76,"33.772075,-117.301693,2012-03-17T12:00:00",1,17/3/2012
77,"33.772075,-117.301693,2012-03-18T12:00:00",1,18/3/2012
78,"33.772075,-117.301693,2012-03-19T12:00:00",1,19/3/2012
79,"33.772075,-117.301693,2012-03-20T12:00:00",1,20/3/2012
80,"33.772075,-117.301693,2012-03-21T12:00:00",1,21/3/2012
81,"33.772075,-117.301693,2012-03-22T12:00:00",1,22/3/2012
82,"33.772075,-117.301693,2012-03-23T12:00:00",1,23/3/2012
83,"33.772075,-117.301693,2012-03-24T12:00:00",1,24/3/2012
84,"33.772075,-117.301693,2012-03-25T12:00:00",1,25/3/2012
85,"33.772075,-117.301693,2012-03-26T12:00:00",1,26/3/2012
86,"33.772075,-117.301693,2012-03-27T12:00:00",1,27/3/2012
87,"33.772075,-117.301693,2012-03-28T12:00:00",1,28/3/2012
88,"33.772075,-117.301693,2012-03-29T12:00:00",1,29/3/2012
89,"33.772075,-117.301693,2012-03-30T12:00:00",1,30/3/2012
90,"33.772075,-117.301693,2012-03-31T12:00:00",1,31/3/2012
91,"33.772075,-117.301693,2012-04-01T12:00:00",1,1/4/2012
92,"33.772075,-117.301693,2012-04-02T12:00:00",1,2/4/2012
93,"33.772075,-117.301693,2012-04-03T12:00:00",1,3/4/2012
94,"33.772075,-117.301693,2012-04-04T12:00:00",1,4/4/2012
95,"33.772075,-117.301693,2012-04-05T12:00:00",1,5/4/2012
96,"33.772075,-117.301693,2012-04-06T12:00:00",1,6/4/2012
97,"33.772075,-117.301693,2012-04-07T12:00:00",1,7/4/2012
98,"33.772075,-117.301693,2012-04-08T12:00:00",1,8/4/2012
99,"33.772075,-117.301693,2012-04-09T12:00:00",1,9/4/2012
100,"33.772075,-117.301693,2012-04-10T12:00:00",1,10/4/2012
101,"33.772075,-117.301693,2012-04-11T12:00:00",1,11/4/2012
102,"33.772075,-117.301693,2012-04-12T12:00:00",1,12/4/2012
103,"33.772075,-117.301693,2012-04-13T12:00:00",1,13/4/2012
104,"33.772075,-117.301693,2012-04-14T12:00:00",1,14/4/2012
105,"33.772075,-117.301693,2012-04-15T12:00:00",1,15/4/2012
106,"33.772075,-117.301693,2012-04-16T12:00:00",1,16/4/2012
107,"33.772075,-117.301693,2012-04-17T12:00:00",1,17/4/2012
108,"33.772075,-117.301693,2012-04-18T12:00:00",1,18/4/2012
109,"33.772075,-117.301693,2012-04-19T12:00:00",1,19/4/2012
110,"33.772075,-117.301693,2012-04-20T12:00:00",1,20/4/2012
111,"33.772075,-117.301693,2012-04-21T12:00:00",1,21/4/2012
112,"33.772075,-117.301693,2012-04-22T12:00:00",1,22/4/2012
113,"33.772075,-117.301693,2012-04-23T12:00:00",1,23/4/2012
114,"33.772075,-117.301693,2012-04-24T12:00:00",1,24/4/2012
115,"33.772075,-117.301693,2012-04-25T12:00:00",1,25/4/2012
116,"33.772075,-117.301693,2012-04-26T12:00:00",1,26/4/2012
117,"33.772075,-117.301693,2012-04-27T12:00:00",1,27/4/2012
118,"33.772075,-117.301693,2012-04-28T12:00:00",1,28/4/2012
119,"33.772075,-117.301693,2012-04-29T12:00:00",1,29/4/2012
120,"33.772075,-117.301693,2012-04-30T12:00:00",1,30/4/2012
121,"33.772075,-117.301693,2012-05-01T12:00:00",1,1/5/2012
122,"33.772075,-117.301693,2012-05-02T12:00:00",1,2/5/2012
123,"33.772075,-117.301693,2012-05-03T12:00:00",1,3/5/2012
124,"33.772075,-117.301693,2012-05-04T12:00:00",1,4/5/2012
125,"33.772075,-117.301693,2012-05-05T12:00:00",1,5/5/2012
126,"33.772075,-117.301693,2012-05-06T12:00:00",1,6/5/2012
127,"33.772075,-117.301693,2012-05-07T12:00:00",1,7/5/2012
128,"33.772075,-117.301693,2012-05-08T12:00:00",1,8/5/2012
129,"33.772075,-117.301693,2012-05-09T12:00:00",1,9/5/2012
130,"33.772075,-117.301693,2012-05-10T12:00:00",1,10/5/2012
131,"33.772075,-117.301693,2012-05-11T12:00:00",1,11/5/2012
132,"33.772075,-117.301693,2012-05-12T12:00:00",1,12/5/2012
133,"33.772075,-117.301693,2012-05-13T12:00:00",1,13/5/2012
134,"33.772075,-117.301693,2012-05-14T12:00:00",1,14/5/2012
135,"33.772075,-117.301693,2012-05-15T12:00:00",1,15/5/2012
136,"33.772075,-117.301693,2012-05-16T12:00:00",1,16/5/2012
137,"33.772075,-117.301693,2012-05-17T12:00:00",1,17/5/2012
138,"33.772075,-117.301693,2012-05-18T12:00:00",1,18/5/2012
139,"33.772075,-117.301693,2012-05-19T12:00:00",1,19/5/2012
140,"33.772075,-117.301693,2012-05-20T12:00:00",1,20/5/2012
141,"33.772075,-117.301693,2012-05-21T12:00:00",1,21/5/2012
142,"33.772075,-117.301693,2012-05-22T12:00:00",1,22/5/2012
143,"33.772075,-117.301693,2012-05-23T12:00:00",1,23/5/2012
144,"33.772075,-117.301693,2012-05-24T12:00:00",1,24/5/2012
145,"33.772075,-117.301693,2012-05-25T12:00:00",1,25/5/2012
146,"33.772075,-117.301693,2012-05-26T12:00:00",1,26/5/2012
147,"33.772075,-117.301693,2012-05-27T12:00:00",1,27/5/2012
148,"33.772075,-117.301693,2012-05-28T12:00:00",1,28/5/2012
149,"33.772075,-117.301693,2012-05-29T12:00:00",1,29/5/2012
150,"33.772075,-117.301693,2012-05-30T12:00:00",1,30/5/2012
151,"33.772075,-117.301693,2012-05-31T12:00:00",1,31/5/2012
152,"33.772075,-117.301693,2012-06-01T12:00:00",1,1/6/2012
153,"33.772075,-117.301693,2012-06-02T12:00:00",1,2/6/2012
154,"33.772075,-117.301693,2012-06-03T12:00:00",1,3/6/2012
155,"33.772075,-117.301693,2012-06-04T12:00:00",1,4/6/2012
156,"33.772075,-117.301693,2012-06-05T12:00:00",1,5/6/2012
157,"33.772075,-117.301693,2012-06-06T12:00:00",1,6/6/2012
158,"33.772075,-117.301693,2012-06-07T12:00:00",1,7/6/2012
159,"33.772075,-117.301693,2012-06-08T12:00:00",1,8/6/2012
