,index,latlngtime,areacode,tggl,weather
20000,20000,"33.829637,-117.275557,2016-09-26T12:00:00",11,26/9/2016,Dry throughout the day.
20001,20001,"33.829637,-117.275557,2016-09-27T12:00:00",11,27/9/2016,Clear throughout the day.
20002,20002,"33.829637,-117.275557,2016-09-28T12:00:00",11,28/9/2016,Clear throughout the day.
20003,20003,"33.829637,-117.275557,2016-09-29T12:00:00",11,29/9/2016,Clear throughout the day.
20004,20004,"33.829637,-117.275557,2016-09-30T12:00:00",11,30/9/2016,Clear throughout the day.
20005,20005,"33.829637,-117.275557,2016-10-01T12:00:00",11,1/10/2016,Clear throughout the day.
20006,20006,"33.829637,-117.275557,2016-10-02T12:00:00",11,2/10/2016,Partly cloudy overnight.
20007,20007,"33.829637,-117.275557,2016-10-03T12:00:00",11,3/10/2016,Partly cloudy in the morning.
20008,20008,"33.829637,-117.275557,2016-10-04T12:00:00",11,4/10/2016,Clear throughout the day.
20009,20009,"33.829637,-117.275557,2016-10-05T12:00:00",11,5/10/2016,Partly cloudy in the morning.
20010,20010,"33.829637,-117.275557,2016-10-06T12:00:00",11,6/10/2016,Clear throughout the day.
20011,20011,"33.829637,-117.275557,2016-10-07T12:00:00",11,7/10/2016,Clear throughout the day.
20012,20012,"33.829637,-117.275557,2016-10-08T12:00:00",11,8/10/2016,Clear throughout the day.
20013,20013,"33.829637,-117.275557,2016-10-09T12:00:00",11,9/10/2016,Clear throughout the day.
20014,20014,"33.829637,-117.275557,2016-10-10T12:00:00",11,10/10/2016,Clear throughout the day.
20015,20015,"33.829637,-117.275557,2016-10-11T12:00:00",11,11/10/2016,Clear throughout the day.
20016,20016,"33.829637,-117.275557,2016-10-12T12:00:00",11,12/10/2016,Clear throughout the day.
20017,20017,"33.829637,-117.275557,2016-10-13T12:00:00",11,13/10/2016,Clear throughout the day.
20018,20018,"33.829637,-117.275557,2016-10-14T12:00:00",11,14/10/2016,Clear throughout the day.
20019,20019,"33.829637,-117.275557,2016-10-15T12:00:00",11,15/10/2016,Clear throughout the day.
20020,20020,"33.829637,-117.275557,2016-10-16T12:00:00",11,16/10/2016,Partly cloudy until afternoon.
20021,20021,"33.829637,-117.275557,2016-10-17T12:00:00",11,17/10/2016,Light rain in the morning.
20022,20022,"33.829637,-117.275557,2016-10-18T12:00:00",11,18/10/2016,Clear throughout the day.
20023,20023,"33.829637,-117.275557,2016-10-19T12:00:00",11,19/10/2016,Clear throughout the day.
20024,20024,"33.829637,-117.275557,2016-10-20T12:00:00",11,20/10/2016,Dry throughout the day.
20025,20025,"33.829637,-117.275557,2016-10-21T12:00:00",11,21/10/2016,Clear throughout the day.
20026,20026,"33.829637,-117.275557,2016-10-22T12:00:00",11,22/10/2016,Clear throughout the day.
20027,20027,"33.829637,-117.275557,2016-10-23T12:00:00",11,23/10/2016,Light rain in the afternoon and overnight.
20028,20028,"33.829637,-117.275557,2016-10-24T12:00:00",11,24/10/2016,Light rain in the morning and afternoon.
20029,20029,"33.829637,-117.275557,2016-10-25T12:00:00",11,25/10/2016,Clear throughout the day.
20030,20030,"33.829637,-117.275557,2016-10-26T12:00:00",11,26/10/2016,Clear throughout the day.
20031,20031,"33.829637,-117.275557,2016-10-27T12:00:00",11,27/10/2016,Clear throughout the day.
20032,20032,"33.829637,-117.275557,2016-10-28T12:00:00",11,28/10/2016,Partly cloudy until afternoon.
20033,20033,"33.829637,-117.275557,2016-10-29T12:00:00",11,29/10/2016,Clear throughout the day.
20034,20034,"33.829637,-117.275557,2016-10-30T12:00:00",11,30/10/2016,Partly cloudy in the morning.
20035,20035,"33.829637,-117.275557,2016-10-31T12:00:00",11,31/10/2016,Clear throughout the day.
20036,20036,"33.829637,-117.275557,2016-11-01T12:00:00",11,1/11/2016,Partly cloudy until afternoon.
20037,20037,"33.829637,-117.275557,2016-11-02T12:00:00",11,2/11/2016,Clear throughout the day.
20038,20038,"33.829637,-117.275557,2016-11-03T12:00:00",11,3/11/2016,Clear throughout the day.
20039,20039,"33.829637,-117.275557,2016-11-04T12:00:00",11,4/11/2016,Clear throughout the day.
20040,20040,"33.829637,-117.275557,2016-11-05T12:00:00",11,5/11/2016,Clear throughout the day.
20041,20041,"33.829637,-117.275557,2016-11-06T12:00:00",11,6/11/2016,Clear throughout the day.
20042,20042,"33.829637,-117.275557,2016-11-07T12:00:00",11,7/11/2016,Clear throughout the day.
